Subject,BrainVolumes
OAS1_0001_MR1_mpr_n4_anon_sbj_111,1235531
OAS1_0003_MR1_mpr_n4_anon_sbj_111,1344408
OAS1_0004_MR1_mpr_n4_anon_sbj_111,1485424
OAS1_0005_MR1_mpr_n4_anon_sbj_111,1500530
OAS1_0006_MR1_mpr_n4_anon_sbj_111,1080377
OAS1_0007_MR1_mpr_n3_anon_sbj_111,1324781
OAS1_0009_MR1_mpr_n4_anon_sbj_111,1402910
OAS1_0010_MR1_mpr_n4_anon_sbj_111,1489929
OAS1_0011_MR1_mpr_n4_anon_sbj_111,1186522
OAS1_0012_MR1_mpr_n4_anon_sbj_111,1516385
OAS1_0013_MR1_mpr_n4_anon_sbj_111,1457808
OAS1_0014_MR1_mpr_n4_anon_sbj_111,1319180
OAS1_0015_MR1_mpr_n3_anon_sbj_111,1596040
OAS1_0016_MR1_mpr_n3_anon_sbj_111,1341441
OAS1_0017_MR1_mpr_n4_anon_sbj_111,1572203
OAS1_0018_MR1_mpr_n4_anon_sbj_111,1533166
OAS1_0019_MR1_mpr_n4_anon_sbj_111,1417793
OAS1_0020_MR1_mpr_n3_anon_sbj_111,1261527
OAS1_0021_MR1_mpr_n4_anon_sbj_111,1579829
OAS1_0022_MR1_mpr_n4_anon_sbj_111,1349989
OAS1_0023_MR1_mpr_n4_anon_sbj_111,1305725
OAS1_0025_MR1_mpr_n4_anon_sbj_111,1266507
OAS1_0026_MR1_mpr_n3_anon_sbj_111,1155755
OAS1_0027_MR1_mpr_n4_anon_sbj_111,1135077
OAS1_0028_MR1_mpr_n4_anon_sbj_111,1319187
OAS1_0029_MR1_mpr_n4_anon_sbj_111,1453046
OAS1_0030_MR1_mpr_n4_anon_sbj_111,1335194
OAS1_0031_MR1_mpr_n4_anon_sbj_111,1272331
OAS1_0032_MR1_mpr_n4_anon_sbj_111,1435845
OAS1_0033_MR1_mpr_n4_anon_sbj_111,1233780
OAS1_0034_MR1_mpr_n3_anon_sbj_111,1460150
OAS1_0035_MR1_mpr_n4_anon_sbj_111,1331108
OAS1_0037_MR1_mpr_n4_anon_sbj_111,1290455
OAS1_0038_MR1_mpr_n3_anon_sbj_111,1280215
OAS1_0039_MR1_mpr_n3_anon_sbj_111,1363068
OAS1_0040_MR1_mpr_n4_anon_sbj_111,1213534
OAS1_0041_MR1_mpr_n4_anon_sbj_111,1261300
OAS1_0042_MR1_mpr_n4_anon_sbj_111,1705133
OAS1_0043_MR1_mpr_n4_anon_sbj_111,1454247
OAS1_0044_MR1_mpr_n4_anon_sbj_111,1232970
OAS1_0045_MR1_mpr_n4_anon_sbj_111,1491617
OAS1_0046_MR1_mpr_n4_anon_sbj_111,1222690
OAS1_0047_MR1_mpr_n4_anon_sbj_111,1324363
OAS1_0049_MR1_mpr_n4_anon_sbj_111,1250688
OAS1_0050_MR1_mpr_n4_anon_sbj_111,1206631
OAS1_0051_MR1_mpr_n4_anon_sbj_111,1360928
OAS1_0052_MR1_mpr_n4_anon_sbj_111,1311903
OAS1_0053_MR1_mpr_n4_anon_sbj_111,1258430
OAS1_0054_MR1_mpr_n4_anon_sbj_111,1497290
OAS1_0055_MR1_mpr_n4_anon_sbj_111,1400329
OAS1_0056_MR1_mpr_n4_anon_sbj_111,1231378
OAS1_0057_MR1_mpr_n3_anon_sbj_111,1209408
OAS1_0058_MR1_mpr_n4_anon_sbj_111,1494436
OAS1_0059_MR1_mpr_n4_anon_sbj_111,1229620
OAS1_0060_MR1_mpr_n4_anon_sbj_111,1448406
OAS1_0061_MR1_mpr_n4_anon_sbj_111,1685103
OAS1_0061_MR2_mpr_n4_anon_sbj_111,1685459
OAS1_0062_MR1_mpr_n4_anon_sbj_111,1364353
OAS1_0063_MR1_mpr_n4_anon_sbj_111,1629252
OAS1_0064_MR1_mpr_n4_anon_sbj_111,1504551
OAS1_0065_MR1_mpr_n4_anon_sbj_111,1151907
OAS1_0066_MR1_mpr_n4_anon_sbj_111,1210144
OAS1_0067_MR1_mpr_n3_anon_sbj_111,1470957
OAS1_0068_MR1_mpr_n4_anon_sbj_111,1320597
OAS1_0069_MR1_mpr_n4_anon_sbj_111,1697421
OAS1_0070_MR1_mpr_n4_anon_sbj_111,1311033
OAS1_0071_MR1_mpr_n4_anon_sbj_111,1392283
OAS1_0072_MR1_mpr_n4_anon_sbj_111,1300430
OAS1_0073_MR1_mpr_n4_anon_sbj_111,1349809
OAS1_0074_MR1_mpr_n4_anon_sbj_111,1487086
OAS1_0075_MR1_mpr_n4_anon_sbj_111,1265295
OAS1_0076_MR1_mpr_n4_anon_sbj_111,1437437
OAS1_0077_MR1_mpr_n4_anon_sbj_111,1483122
OAS1_0078_MR1_mpr_n4_anon_sbj_111,1347201
OAS1_0079_MR1_mpr_n4_anon_sbj_111,1440122
OAS1_0080_MR1_mpr_n4_anon_sbj_111,1513785
OAS1_0080_MR2_mpr_n4_anon_sbj_111,1618445
OAS1_0081_MR1_mpr_n3_anon_sbj_111,1153159
OAS1_0082_MR1_mpr_n4_anon_sbj_111,1448703
OAS1_0083_MR1_mpr_n4_anon_sbj_111,1156820
OAS1_0084_MR1_mpr_n4_anon_sbj_111,1350320
OAS1_0085_MR1_mpr_n4_anon_sbj_111,1111044
OAS1_0086_MR1_mpr_n4_anon_sbj_111,1305263
